event_id,event_family,release_date,scheduled_T0_ET,scheduled_T0_UTC,BLS_release_url,required_fields
US_CPI_2021-01-13,CPI,2021-01-13,2021-01-13T08:30:00 America/New_York,2021-01-13T13:30:00Z,https://www.bls.gov/news.release/archives/cpi_01132021.htm,headline_cpi_mom|headline_cpi_yoy|core_cpi_mom|core_cpi_yoy
US_CPI_2021-02-10,CPI,2021-02-10,2021-02-10T08:30:00 America/New_York,2021-02-10T13:30:00Z,https://www.bls.gov/news.release/archives/cpi_02102021.htm,headline_cpi_mom|headline_cpi_yoy|core_cpi_mom|core_cpi_yoy
US_CPI_2021-03-10,CPI,2021-03-10,2021-03-10T08:30:00 America/New_York,2021-03-10T13:30:00Z,https://www.bls.gov/news.release/archives/cpi_03102021.htm,headline_cpi_mom|headline_cpi_yoy|core_cpi_mom|core_cpi_yoy
US_CPI_2021-04-13,CPI,2021-04-13,2021-04-13T08:30:00 America/New_York,2021-04-13T12:30:00Z,https://www.bls.gov/news.release/archives/cpi_04132021.htm,headline_cpi_mom|headline_cpi_yoy|core_cpi_mom|core_cpi_yoy
US_CPI_2021-05-12,CPI,2021-05-12,2021-05-12T08:30:00 America/New_York,2021-05-12T12:30:00Z,https://www.bls.gov/news.release/archives/cpi_05122021.htm,headline_cpi_mom|headline_cpi_yoy|core_cpi_mom|core_cpi_yoy
US_CPI_2021-06-10,CPI,2021-06-10,2021-06-10T08:30:00 America/New_York,2021-06-10T12:30:00Z,https://www.bls.gov/news.release/archives/cpi_06102021.htm,headline_cpi_mom|headline_cpi_yoy|core_cpi_mom|core_cpi_yoy
US_CPI_2021-07-13,CPI,2021-07-13,2021-07-13T08:30:00 America/New_York,2021-07-13T12:30:00Z,https://www.bls.gov/news.release/archives/cpi_07132021.htm,headline_cpi_mom|headline_cpi_yoy|core_cpi_mom|core_cpi_yoy
US_CPI_2021-08-11,CPI,2021-08-11,2021-08-11T08:30:00 America/New_York,2021-08-11T12:30:00Z,https://www.bls.gov/news.release/archives/cpi_08112021.htm,headline_cpi_mom|headline_cpi_yoy|core_cpi_mom|core_cpi_yoy
US_CPI_2021-09-14,CPI,2021-09-14,2021-09-14T08:30:00 America/New_York,2021-09-14T12:30:00Z,https://www.bls.gov/news.release/archives/cpi_09142021.htm,headline_cpi_mom|headline_cpi_yoy|core_cpi_mom|core_cpi_yoy
US_CPI_2021-10-13,CPI,2021-10-13,2021-10-13T08:30:00 America/New_York,2021-10-13T12:30:00Z,https://www.bls.gov/news.release/archives/cpi_10132021.htm,headline_cpi_mom|headline_cpi_yoy|core_cpi_mom|core_cpi_yoy
US_CPI_2021-11-10,CPI,2021-11-10,2021-11-10T08:30:00 America/New_York,2021-11-10T13:30:00Z,https://www.bls.gov/news.release/archives/cpi_11102021.htm,headline_cpi_mom|headline_cpi_yoy|core_cpi_mom|core_cpi_yoy
US_CPI_2021-12-10,CPI,2021-12-10,2021-12-10T08:30:00 America/New_York,2021-12-10T13:30:00Z,https://www.bls.gov/news.release/archives/cpi_12102021.htm,headline_cpi_mom|headline_cpi_yoy|core_cpi_mom|core_cpi_yoy
US_NFP_2021-01-08,EMPLOYMENT_SITUATION,2021-01-08,2021-01-08T08:30:00 America/New_York,2021-01-08T13:30:00Z,https://www.bls.gov/news.release/archives/empsit_01082021.htm,nfp_change_k|unemployment_rate|ahe_mom|ahe_yoy|prior_payroll_revisions
US_NFP_2021-02-05,EMPLOYMENT_SITUATION,2021-02-05,2021-02-05T08:30:00 America/New_York,2021-02-05T13:30:00Z,https://www.bls.gov/news.release/archives/empsit_02052021.htm,nfp_change_k|unemployment_rate|ahe_mom|ahe_yoy|prior_payroll_revisions
US_NFP_2021-03-05,EMPLOYMENT_SITUATION,2021-03-05,2021-03-05T08:30:00 America/New_York,2021-03-05T13:30:00Z,https://www.bls.gov/news.release/archives/empsit_03052021.htm,nfp_change_k|unemployment_rate|ahe_mom|ahe_yoy|prior_payroll_revisions
US_NFP_2021-04-02,EMPLOYMENT_SITUATION,2021-04-02,2021-04-02T08:30:00 America/New_York,2021-04-02T12:30:00Z,https://www.bls.gov/news.release/archives/empsit_04022021.htm,nfp_change_k|unemployment_rate|ahe_mom|ahe_yoy|prior_payroll_revisions
US_NFP_2021-05-07,EMPLOYMENT_SITUATION,2021-05-07,2021-05-07T08:30:00 America/New_York,2021-05-07T12:30:00Z,https://www.bls.gov/news.release/archives/empsit_05072021.htm,nfp_change_k|unemployment_rate|ahe_mom|ahe_yoy|prior_payroll_revisions
US_NFP_2021-06-04,EMPLOYMENT_SITUATION,2021-06-04,2021-06-04T08:30:00 America/New_York,2021-06-04T12:30:00Z,https://www.bls.gov/news.release/archives/empsit_06042021.htm,nfp_change_k|unemployment_rate|ahe_mom|ahe_yoy|prior_payroll_revisions
US_NFP_2021-07-02,EMPLOYMENT_SITUATION,2021-07-02,2021-07-02T08:30:00 America/New_York,2021-07-02T12:30:00Z,https://www.bls.gov/news.release/archives/empsit_07022021.htm,nfp_change_k|unemployment_rate|ahe_mom|ahe_yoy|prior_payroll_revisions
