event_id,event_family,required_field,actual_status,consensus_status,event_class
US_CPI_2021-01-13,CPI,headline_cpi_mom,AUTHORITATIVE_FIRST_RELEASE,CONSENSUS_PROVENANCE_INCOMPLETE,CONSENSUS_PROVENANCE_INCOMPLETE
US_CPI_2021-01-13,CPI,headline_cpi_yoy,AUTHORITATIVE_FIRST_RELEASE,CONSENSUS_PROVENANCE_INCOMPLETE,CONSENSUS_PROVENANCE_INCOMPLETE
US_CPI_2021-01-13,CPI,core_cpi_mom,AUTHORITATIVE_FIRST_RELEASE,CONSENSUS_PROVENANCE_INCOMPLETE,CONSENSUS_PROVENANCE_INCOMPLETE
US_CPI_2021-01-13,CPI,core_cpi_yoy,AUTHORITATIVE_FIRST_RELEASE,CONSENSUS_PROVENANCE_INCOMPLETE,CONSENSUS_PROVENANCE_INCOMPLETE
US_CPI_2021-02-10,CPI,headline_cpi_mom,AUTHORITATIVE_FIRST_RELEASE,CONSENSUS_PROVENANCE_INCOMPLETE,CONSENSUS_PROVENANCE_INCOMPLETE
US_CPI_2021-02-10,CPI,headline_cpi_yoy,AUTHORITATIVE_FIRST_RELEASE,CONSENSUS_PROVENANCE_INCOMPLETE,CONSENSUS_PROVENANCE_INCOMPLETE
US_CPI_2021-02-10,CPI,core_cpi_mom,AUTHORITATIVE_FIRST_RELEASE,CONSENSUS_PROVENANCE_INCOMPLETE,CONSENSUS_PROVENANCE_INCOMPLETE
US_CPI_2021-02-10,CPI,core_cpi_yoy,AUTHORITATIVE_FIRST_RELEASE,CONSENSUS_PROVENANCE_INCOMPLETE,CONSENSUS_PROVENANCE_INCOMPLETE
US_CPI_2021-03-10,CPI,headline_cpi_mom,AUTHORITATIVE_FIRST_RELEASE,CONSENSUS_PROVENANCE_INCOMPLETE,CONSENSUS_PROVENANCE_INCOMPLETE
US_CPI_2021-03-10,CPI,headline_cpi_yoy,AUTHORITATIVE_FIRST_RELEASE,CONSENSUS_PROVENANCE_INCOMPLETE,CONSENSUS_PROVENANCE_INCOMPLETE
US_CPI_2021-03-10,CPI,core_cpi_mom,AUTHORITATIVE_FIRST_RELEASE,CONSENSUS_PROVENANCE_INCOMPLETE,CONSENSUS_PROVENANCE_INCOMPLETE
US_CPI_2021-03-10,CPI,core_cpi_yoy,AUTHORITATIVE_FIRST_RELEASE,CONSENSUS_PROVENANCE_INCOMPLETE,CONSENSUS_PROVENANCE_INCOMPLETE
US_CPI_2021-04-13,CPI,headline_cpi_mom,AUTHORITATIVE_FIRST_RELEASE,CONSENSUS_PROVENANCE_INCOMPLETE,CONSENSUS_PROVENANCE_INCOMPLETE
US_CPI_2021-04-13,CPI,headline_cpi_yoy,AUTHORITATIVE_FIRST_RELEASE,CONSENSUS_PROVENANCE_INCOMPLETE,CONSENSUS_PROVENANCE_INCOMPLETE
US_CPI_2021-04-13,CPI,core_cpi_mom,AUTHORITATIVE_FIRST_RELEASE,CONSENSUS_PROVENANCE_INCOMPLETE,CONSENSUS_PROVENANCE_INCOMPLETE
US_CPI_2021-04-13,CPI,core_cpi_yoy,AUTHORITATIVE_FIRST_RELEASE,CONSENSUS_PROVENANCE_INCOMPLETE,CONSENSUS_PROVENANCE_INCOMPLETE
US_CPI_2021-05-12,CPI,headline_cpi_mom,AUTHORITATIVE_FIRST_RELEASE,CONSENSUS_PROVENANCE_INCOMPLETE,CONSENSUS_PROVENANCE_INCOMPLETE
US_CPI_2021-05-12,CPI,headline_cpi_yoy,AUTHORITATIVE_FIRST_RELEASE,CONSENSUS_PROVENANCE_INCOMPLETE,CONSENSUS_PROVENANCE_INCOMPLETE
US_CPI_2021-05-12,CPI,core_cpi_mom,AUTHORITATIVE_FIRST_RELEASE,CONSENSUS_PROVENANCE_INCOMPLETE,CONSENSUS_PROVENANCE_INCOMPLETE
US_CPI_2021-05-12,CPI,core_cpi_yoy,AUTHORITATIVE_FIRST_RELEASE,CONSENSUS_PROVENANCE_INCOMPLETE,CONSENSUS_PROVENANCE_INCOMPLETE
US_CPI_2021-06-10,CPI,headline_cpi_mom,AUTHORITATIVE_FIRST_RELEASE,CONSENSUS_PROVENANCE_INCOMPLETE,CONSENSUS_PROVENANCE_INCOMPLETE
US_CPI_2021-06-10,CPI,headline_cpi_yoy,AUTHORITATIVE_FIRST_RELEASE,CONSENSUS_PROVENANCE_INCOMPLETE,CONSENSUS_PROVENANCE_INCOMPLETE
US_CPI_2021-06-10,CPI,core_cpi_mom,AUTHORITATIVE_FIRST_RELEASE,CONSENSUS_PROVENANCE_INCOMPLETE,CONSENSUS_PROVENANCE_INCOMPLETE
US_CPI_2021-06-10,CPI,core_cpi_yoy,AUTHORITATIVE_FIRST_RELEASE,CONSENSUS_PROVENANCE_INCOMPLETE,CONSENSUS_PROVENANCE_INCOMPLETE
US_CPI_2021-07-13,CPI,headline_cpi_mom,AUTHORITATIVE_FIRST_RELEASE,CONSENSUS_PROVENANCE_INCOMPLETE,CONSENSUS_PROVENANCE_INCOMPLETE
US_CPI_2021-07-13,CPI,headline_cpi_yoy,AUTHORITATIVE_FIRST_RELEASE,CONSENSUS_PROVENANCE_INCOMPLETE,CONSENSUS_PROVENANCE_INCOMPLETE
