token_id,scheduled_date_utc,scheduled_unlock_tokens,component_count,known_at_utc,known_lead_days,pit_status,timing_precision,source_commit,source_sha256
stepn,2023-06-28,27166666.666666668,1,2023-05-19T18:00:05Z,40,IMMUTABLE_SNAPSHOT_CANDIDATE,calendar_date_only,7d2bf881ca3c6ffe7c30ab34889bb92c08b1904a,5ffc842f7385f57cec44f0ec63624bb704f2e222a40a24a04664d2da5d4c4f8c
aptos,2023-07-11,3210144.6666666665,1,2023-05-19T18:00:05Z,53,IMMUTABLE_SNAPSHOT_CANDIDATE,calendar_date_only,7d2bf881ca3c6ffe7c30ab34889bb92c08b1904a,5ffc842f7385f57cec44f0ec63624bb704f2e222a40a24a04664d2da5d4c4f8c
nym,2023-07-13,14285714.285714285,1,2023-05-19T18:00:05Z,55,IMMUTABLE_SNAPSHOT_CANDIDATE,calendar_date_only,7d2bf881ca3c6ffe7c30ab34889bb92c08b1904a,5ffc842f7385f57cec44f0ec63624bb704f2e222a40a24a04664d2da5d4c4f8c
stepn,2023-07-28,27166666.666666668,1,2023-05-19T18:00:05Z,70,IMMUTABLE_SNAPSHOT_CANDIDATE,calendar_date_only,7d2bf881ca3c6ffe7c30ab34889bb92c08b1904a,5ffc842f7385f57cec44f0ec63624bb704f2e222a40a24a04664d2da5d4c4f8c
nym,2023-08-02,70625000.0,2,2023-05-19T18:00:05Z,75,IMMUTABLE_SNAPSHOT_CANDIDATE,calendar_date_only,7d2bf881ca3c6ffe7c30ab34889bb92c08b1904a,5ffc842f7385f57cec44f0ec63624bb704f2e222a40a24a04664d2da5d4c4f8c
project-galaxy,2023-08-03,2111111.111111111,1,2023-05-19T18:00:05Z,76,IMMUTABLE_SNAPSHOT_CANDIDATE,calendar_date_only,7d2bf881ca3c6ffe7c30ab34889bb92c08b1904a,5ffc842f7385f57cec44f0ec63624bb704f2e222a40a24a04664d2da5d4c4f8c
project-galaxy,2023-08-07,1700800.0,1,2023-05-19T18:00:05Z,80,IMMUTABLE_SNAPSHOT_CANDIDATE,calendar_date_only,7d2bf881ca3c6ffe7c30ab34889bb92c08b1904a,5ffc842f7385f57cec44f0ec63624bb704f2e222a40a24a04664d2da5d4c4f8c
project-galaxy,2023-08-10,1487200.0,1,2023-05-19T18:00:05Z,83,IMMUTABLE_SNAPSHOT_CANDIDATE,calendar_date_only,7d2bf881ca3c6ffe7c30ab34889bb92c08b1904a,5ffc842f7385f57cec44f0ec63624bb704f2e222a40a24a04664d2da5d4c4f8c
aptos,2023-08-11,3210144.6666666665,1,2023-05-19T18:00:05Z,84,IMMUTABLE_SNAPSHOT_CANDIDATE,calendar_date_only,7d2bf881ca3c6ffe7c30ab34889bb92c08b1904a,5ffc842f7385f57cec44f0ec63624bb704f2e222a40a24a04664d2da5d4c4f8c
stepn,2023-08-28,27166666.666666668,1,2023-05-19T18:00:05Z,101,IMMUTABLE_SNAPSHOT_CANDIDATE,calendar_date_only,7d2bf881ca3c6ffe7c30ab34889bb92c08b1904a,5ffc842f7385f57cec44f0ec63624bb704f2e222a40a24a04664d2da5d4c4f8c
aptos,2023-09-11,3210144.6666666665,1,2023-05-19T18:00:05Z,115,IMMUTABLE_SNAPSHOT_CANDIDATE,calendar_date_only,7d2bf881ca3c6ffe7c30ab34889bb92c08b1904a,5ffc842f7385f57cec44f0ec63624bb704f2e222a40a24a04664d2da5d4c4f8c
stepn,2023-09-28,27166666.666666668,1,2023-05-19T18:00:05Z,132,IMMUTABLE_SNAPSHOT_CANDIDATE,calendar_date_only,7d2bf881ca3c6ffe7c30ab34889bb92c08b1904a,5ffc842f7385f57cec44f0ec63624bb704f2e222a40a24a04664d2da5d4c4f8c
aptos,2023-10-11,3210144.6666666665,1,2023-05-19T18:00:05Z,145,IMMUTABLE_SNAPSHOT_CANDIDATE,calendar_date_only,7d2bf881ca3c6ffe7c30ab34889bb92c08b1904a,5ffc842f7385f57cec44f0ec63624bb704f2e222a40a24a04664d2da5d4c4f8c
nym,2023-10-13,14285714.285714285,1,2023-05-19T18:00:05Z,147,IMMUTABLE_SNAPSHOT_CANDIDATE,calendar_date_only,7d2bf881ca3c6ffe7c30ab34889bb92c08b1904a,5ffc842f7385f57cec44f0ec63624bb704f2e222a40a24a04664d2da5d4c4f8c
stepn,2023-10-28,27166666.666666668,1,2023-05-19T18:00:05Z,162,IMMUTABLE_SNAPSHOT_CANDIDATE,calendar_date_only,7d2bf881ca3c6ffe7c30ab34889bb92c08b1904a,5ffc842f7385f57cec44f0ec63624bb704f2e222a40a24a04664d2da5d4c4f8c
nym,2023-11-02,70625000.0,2,2023-05-19T18:00:05Z,167,IMMUTABLE_SNAPSHOT_CANDIDATE,calendar_date_only,7d2bf881ca3c6ffe7c30ab34889bb92c08b1904a,5ffc842f7385f57cec44f0ec63624bb704f2e222a40a24a04664d2da5d4c4f8c
project-galaxy,2023-11-03,2111111.111111111,1,2023-05-19T18:00:05Z,168,IMMUTABLE_SNAPSHOT_CANDIDATE,calendar_date_only,7d2bf881ca3c6ffe7c30ab34889bb92c08b1904a,5ffc842f7385f57cec44f0ec63624bb704f2e222a40a24a04664d2da5d4c4f8c
project-galaxy,2023-11-07,1700800.0,1,2023-05-19T18:00:05Z,172,IMMUTABLE_SNAPSHOT_CANDIDATE,calendar_date_only,7d2bf881ca3c6ffe7c30ab34889bb92c08b1904a,5ffc842f7385f57cec44f0ec63624bb704f2e222a40a24a04664d2da5d4c4f8c
project-galaxy,2023-11-10,1487200.0,1,2023-05-19T18:00:05Z,175,IMMUTABLE_SNAPSHOT_CANDIDATE,calendar_date_only,7d2bf881ca3c6ffe7c30ab34889bb92c08b1904a,5ffc842f7385f57cec44f0ec63624bb704f2e222a40a24a04664d2da5d4c4f8c
aptos,2023-11-11,3210144.6666666665,1,2023-05-19T18:00:05Z,176,IMMUTABLE_SNAPSHOT_CANDIDATE,calendar_date_only,7d2bf881ca3c6ffe7c30ab34889bb92c08b1904a,5ffc842f7385f57cec44f0ec63624bb704f2e222a40a24a04664d2da5d4c4f8c
stepn,2023-11-28,27166666.666666668,1,2023-05-19T18:00:05Z,193,IMMUTABLE_SNAPSHOT_CANDIDATE,calendar_date_only,7d2bf881ca3c6ffe7c30ab34889bb92c08b1904a,5ffc842f7385f57cec44f0ec63624bb704f2e222a40a24a04664d2da5d4c4f8c
aptos,2023-12-11,3210144.6666666665,1,2023-05-19T18:00:05Z,206,IMMUTABLE_SNAPSHOT_CANDIDATE,calendar_date_only,7d2bf881ca3c6ffe7c30ab34889bb92c08b1904a,5ffc842f7385f57cec44f0ec63624bb704f2e222a40a24a04664d2da5d4c4f8c
stepn,2023-12-28,27166666.666666668,1,2023-05-19T18:00:05Z,223,IMMUTABLE_SNAPSHOT_CANDIDATE,calendar_date_only,7d2bf881ca3c6ffe7c30ab34889bb92c08b1904a,5ffc842f7385f57cec44f0ec63624bb704f2e222a40a24a04664d2da5d4c4f8c
aptos,2024-01-11,3210144.6666666665,1,2023-05-19T18:00:05Z,237,IMMUTABLE_SNAPSHOT_CANDIDATE,calendar_date_only,7d2bf881ca3c6ffe7c30ab34889bb92c08b1904a,5ffc842f7385f57cec44f0ec63624bb704f2e222a40a24a04664d2da5d4c4f8c
stepn,2024-01-28,27166666.666666668,1,2023-05-19T18:00:05Z,254,IMMUTABLE_SNAPSHOT_CANDIDATE,calendar_date_only,7d2bf881ca3c6ffe7c30ab34889bb92c08b1904a,5ffc842f7385f57cec44f0ec63624bb704f2e222a40a24a04664d2da5d4c4f8c
nym,2024-02-02,70625000.0,2,2023-05-19T18:00:05Z,259,IMMUTABLE_SNAPSHOT_CANDIDATE,calendar_date_only,7d2bf881ca3c6ffe7c30ab34889bb92c08b1904a,5ffc842f7385f57cec44f0ec63624bb704f2e222a40a24a04664d2da5d4c4f8c
project-galaxy,2024-02-03,2111111.111111111,1,2023-05-19T18:00:05Z,260,IMMUTABLE_SNAPSHOT_CANDIDATE,calendar_date_only,7d2bf881ca3c6ffe7c30ab34889bb92c08b1904a,5ffc842f7385f57cec44f0ec63624bb704f2e222a40a24a04664d2da5d4c4f8c
project-galaxy,2024-02-07,1700800.0,1,2023-05-19T18:00:05Z,264,IMMUTABLE_SNAPSHOT_CANDIDATE,calendar_date_only,7d2bf881ca3c6ffe7c30ab34889bb92c08b1904a,5ffc842f7385f57cec44f0ec63624bb704f2e222a40a24a04664d2da5d4c4f8c
project-galaxy,2024-02-10,1487200.0,1,2023-05-19T18:00:05Z,267,IMMUTABLE_SNAPSHOT_CANDIDATE,calendar_date_only,7d2bf881ca3c6ffe7c30ab34889bb92c08b1904a,5ffc842f7385f57cec44f0ec63624bb704f2e222a40a24a04664d2da5d4c4f8c
aptos,2024-02-11,3210144.6666666665,1,2023-05-19T18:00:05Z,268,IMMUTABLE_SNAPSHOT_CANDIDATE,calendar_date_only,7d2bf881ca3c6ffe7c30ab34889bb92c08b1904a,5ffc842f7385f57cec44f0ec63624bb704f2e222a40a24a04664d2da5d4c4f8c
stepn,2024-02-28,27166666.666666668,1,2023-05-19T18:00:05Z,285,IMMUTABLE_SNAPSHOT_CANDIDATE,calendar_date_only,7d2bf881ca3c6ffe7c30ab34889bb92c08b1904a,5ffc842f7385f57cec44f0ec63624bb704f2e222a40a24a04664d2da5d4c4f8c
aptos,2024-03-11,3210144.6666666665,1,2023-05-19T18:00:05Z,297,IMMUTABLE_SNAPSHOT_CANDIDATE,calendar_date_only,7d2bf881ca3c6ffe7c30ab34889bb92c08b1904a,5ffc842f7385f57cec44f0ec63624bb704f2e222a40a24a04664d2da5d4c4f8c
stepn,2024-03-28,27166666.666666668,1,2023-05-19T18:00:05Z,314,IMMUTABLE_SNAPSHOT_CANDIDATE,calendar_date_only,7d2bf881ca3c6ffe7c30ab34889bb92c08b1904a,5ffc842f7385f57cec44f0ec63624bb704f2e222a40a24a04664d2da5d4c4f8c
aptos,2024-04-11,3210144.6666666665,1,2023-05-19T18:00:05Z,328,IMMUTABLE_SNAPSHOT_CANDIDATE,calendar_date_only,7d2bf881ca3c6ffe7c30ab34889bb92c08b1904a,5ffc842f7385f57cec44f0ec63624bb704f2e222a40a24a04664d2da5d4c4f8c
stepn,2024-04-28,27166666.666666668,1,2023-05-19T18:00:05Z,345,IMMUTABLE_SNAPSHOT_CANDIDATE,calendar_date_only,7d2bf881ca3c6ffe7c30ab34889bb92c08b1904a,5ffc842f7385f57cec44f0ec63624bb704f2e222a40a24a04664d2da5d4c4f8c
project-galaxy,2024-05-03,2111111.111111111,1,2023-05-19T18:00:05Z,350,IMMUTABLE_SNAPSHOT_CANDIDATE,calendar_date_only,7d2bf881ca3c6ffe7c30ab34889bb92c08b1904a,5ffc842f7385f57cec44f0ec63624bb704f2e222a40a24a04664d2da5d4c4f8c
project-galaxy,2024-05-07,1700800.0,1,2023-05-19T18:00:05Z,354,IMMUTABLE_SNAPSHOT_CANDIDATE,calendar_date_only,7d2bf881ca3c6ffe7c30ab34889bb92c08b1904a,5ffc842f7385f57cec44f0ec63624bb704f2e222a40a24a04664d2da5d4c4f8c
project-galaxy,2024-05-10,1487200.0,1,2023-05-19T18:00:05Z,357,IMMUTABLE_SNAPSHOT_CANDIDATE,calendar_date_only,7d2bf881ca3c6ffe7c30ab34889bb92c08b1904a,5ffc842f7385f57cec44f0ec63624bb704f2e222a40a24a04664d2da5d4c4f8c
aptos,2024-05-11,3210144.6666666665,1,2023-05-19T18:00:05Z,358,IMMUTABLE_SNAPSHOT_CANDIDATE,calendar_date_only,7d2bf881ca3c6ffe7c30ab34889bb92c08b1904a,5ffc842f7385f57cec44f0ec63624bb704f2e222a40a24a04664d2da5d4c4f8c
stepn,2024-05-28,27166666.666666668,1,2023-05-19T18:00:05Z,375,IMMUTABLE_SNAPSHOT_CANDIDATE,calendar_date_only,7d2bf881ca3c6ffe7c30ab34889bb92c08b1904a,5ffc842f7385f57cec44f0ec63624bb704f2e222a40a24a04664d2da5d4c4f8c
aptos,2024-06-11,3210144.6666666665,1,2023-05-19T18:00:05Z,389,IMMUTABLE_SNAPSHOT_CANDIDATE,calendar_date_only,7d2bf881ca3c6ffe7c30ab34889bb92c08b1904a,5ffc842f7385f57cec44f0ec63624bb704f2e222a40a24a04664d2da5d4c4f8c
